校下・地区	燃やすごみ	燃やさないごみ	資源	びん	センター	収集休止期間（自）	収集休止期間（至）
浅野	月 木	水2	火1 火3	水4	東部管理センター	2015/12/28	2016/1/4
浅野川	月 木	水4	火1 火3	水2	東部管理センター	2015/12/29	2016/1/4
朝日	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
粟崎	火 金	木4	木1 木3	水2	東部管理センター	2015/12/29	2016/1/5
医王山	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
泉野	月 木	金3	金2 金4	水1	西部管理センター	2015/12/28	2016/1/4
内川	月 木	金2	金1 金3	水4	西部管理センター	2015/12/28	2016/1/4
上平	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
扇台	火 金	木4	木1 木3	水2	西部管理センター	2015/12/29	2016/1/5
大浦	火 金	水2	月1 月3	水4	東部管理センター	2015/12/29	2016/1/5
大野	月 木	金4	金1 金3	水2	東部管理センター	2015/12/28	2016/1/4
押野	月 木	火2	火1 火3	水4	西部管理センター	2015/12/28	2016/1/4
金石	火 金	月4	月1 月3	水2	東部管理センター	2015/12/29	2016/1/5
菊川	火 金	月2	月1 月3	水4	西部管理センター	2015/12/29	2016/1/5
木曳野	月 木	水1	火2 火4	水3	東部管理センター	2015/12/28	2016/1/4
清瀬	火 金	水2	月2 月4	水1	西部管理センター	2015/12/29	2016/1/5
倉ケ嶽	火 金	水2	月2 月4	水1	西部管理センター	2015/12/29	2016/1/5
鞍月	月 木	水3	金2 金4	水1	東部管理センター	2015/12/28	2016/1/4
小坂	火 金	月2	月1 月3	水4	東部管理センター	2015/12/29	2016/1/5
小立野	火 金	水3	木2 木4	水1	東部管理センター	2015/12/29	2016/1/5
此花	月 木	金1	金2 金4	水3	東部管理センター	2015/12/28	2016/1/4
駒帰	火 金	水1	木1 木3	水4	西部管理センター	2015/12/29	2016/1/5
犀川	火 金	水1	木2 木4	水3	西部管理センター	2015/12/29	2016/1/5
材木	月 木	水4	火1 火3	水2	東部管理センター	2015/12/28	2016/1/4
四十万	火 金	月3	月2 月4	水1	西部管理センター	2015/12/29	2016/1/5
十一屋	月 木	火3	金1 金3	水4	西部管理センター	2015/12/28	2016/1/4
新神田	火 金	木3	木2 木4	水1	西部管理センター	2015/12/29	2016/1/5
新竪	火 金	月1	月2 月4	水3	西部管理センター	2015/12/29	2016/1/5
西南部	火 金	木2	木1 木3	水4	西部管理センター	2015/12/29	2016/1/5
大徳	火 金	水1	月2 月4	水3	東部管理センター	2015/12/29	2016/1/5
田上	月 木	金3	金2 金4	水1	東部管理センター	2015/12/28	2016/1/4
竹又	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
俵	月 木	金4	火1 火3	水2	西部管理センター	2015/12/28	2016/1/4
千坂	火 金	水2	木1 木3	水4	東部管理センター	2015/12/29	2016/1/5
土子原	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
坪野	火 金	水2	月2 月4	水1	西部管理センター	2015/12/29	2016/1/5
戸板	火 金	木3	木2 木4	水1	東部管理センター	2015/12/29	2016/1/5
富樫	月 木	火4	火1 火3	水2	西部管理センター	2015/12/28	2016/1/4
長田	月 木	水4	火1 火3	水2	東部管理センター	2015/12/28	2016/1/4
長坂台	月 木	水4	金1 金3	水2	西部管理センター	2015/12/28	2016/1/4
長町	月 木	水3	金2 金4	水1	西部管理センター	2015/12/28	2016/1/4
長土塀	月 木	水1	火2 火4	水3	西部管理センター	2015/12/28	2016/1/4
中村	火 金	水4	木1 木3	水2	西部管理センター	2015/12/29	2016/1/5
西	月 木	金1	金2 金4	水3	東部管理センター	2015/12/28	2016/1/4
額	火 金	木1	木2 木4	水3	西部管理センター	2015/12/29	2016/1/5
野町	火 金	月4	月1 月3	水2	西部管理センター	2015/12/29	2016/1/5
花園	月 木	水2	金1 金3	水4	東部管理センター	2015/12/28	2016/1/4
馬場	月 木	火1	火2 火4	水3	東部管理センター	2015/12/28	2016/1/4
東浅川	月 木	水3	金2 金4	水1	西部管理センター	2015/12/28	2016/1/4
瓢箪	月 木	水3	火2 火4	水1	東部管理センター	2015/12/28	2016/1/4
平栗	火 金	水2	月2 月4	水1	西部管理センター	2015/12/29	2016/1/5
伏見台	火 金	水1	月2 月4	水3	西部管理センター	2015/12/29	2016/1/5
不動寺	月 木	金4	金1 金3	水2	東部管理センター	2015/12/28	2016/1/4
芳斉	火 金	木1	木2 木4	水3	東部管理センター	2015/12/29	2016/1/5
牧山	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
松ケ枝	火 金	木2	木1 木3	水4	東部管理センター	2015/12/29	2016/1/5
味噌蔵	月 木	水4	火1 火3	水2	東部管理センター	2015/12/28	2016/1/4
三谷	火 金	月3	月2 月4	水1	東部管理センター	2015/12/29	2016/1/5
緑（二塚）	月 木	水1	金2 金4	水3	西部管理センター	2015/12/28	2016/1/4
南小立野	月 木	金1	金2 金4	水3	西部管理センター	2015/12/28	2016/1/4
三和	月 木	火1	火2 火4	水3	西部管理センター	2015/12/28	2016/1/4
三馬	月 木	水3	火2 火4	水1	西部管理センター	2015/12/28	2016/1/4
森本	月 木	金2	金1 金3	水4	東部管理センター	2015/12/28	2016/1/4
森山	火 金	月1	月2 月4	水3	東部管理センター	2015/12/29	2016/1/5
諸江	月 木	水1	火2 火4	水3	東部管理センター	2015/12/28	2016/1/4
安原（緑団地含む）	月 木	水2	火1 火3	水4	西部管理センター	2015/12/28	2016/1/4
弥生	火 金	水4	月1 月3	水2	西部管理センター	2015/12/29	2016/1/5
夕日寺	月 木	水3	火2 火4	水1	東部管理センター	2015/12/28	2016/1/4
湯涌	月 木	水3	火2 火4	水1	西部管理センター	2015/12/29	2016/1/4
米泉	月 木	水4	金1 金3	水2	西部管理センター	2015/12/28	2016/1/4
米丸	火 金	水2	月1 月3	水4	西部管理センター	2015/12/29	2016/1/5
